id	document	label
1	"텔레그램 창업자 ""내년부터 유료 서비스 선보일 것"" 연합뉴스"	1
2	"용인 한 요양원서 80대 확진자, 병상대기 중 나흘만에 숨져 연합뉴스"	1
3	"""김해신공항, 사업지속? 중단?"" 질문에..말 아낀 변창흠 머니투데이"	1
4	서울구치소 951명 코로나19 음성 판정..박근혜 전 대통령도 뉴스1	1
5	스키장·어시장 덮친 코로나 대책..주변 상권도 시름	1
6	스키장·어시장 덮친 코로나 대책..주변 상권도 시름	1
7	"""삼성, 폴더블폰 주인공은 바로 나""..올해 출하량 73% 싹쓸이 뉴스1"	1
8	용역업체에 채무 대납까지..게임위 '갑질' 횡포 KBS	1
9	"분노유발' 중고 수입차, 탈없이 사려면 매일경제"	1
10	"BTS 다이너마이트, 中라디오 탔다..한한령 해제 기대감 머니투데이"	1
11	오늘 오후 6시까지 695명 확진..어제 같은 시간보다 23명 적어	1
12	오늘 오후 6시까지 695명 확진..어제 같은 시간보다 23명 적어	1
13	감염 사태 속 수능' 성적표 배부..대입 변수는? KBS	1
14	"은수미 ""선거캠프 출신 부정채용 제보, 사실과 달라"" 연합뉴스"	1
15	"美조야 ""대북전단 범죄시하는 건 인권 향상 방법 아냐"" 세계일보"	1
16	"정부 ""백신 세계 최초 접종 피해야"" 해명 도마 위에 세계일보"	1
17	"""삼성, 폴더블폰 주인공은 바로 나""..올해 출하량 73% 싹쓸이 뉴스1"	0
18	"""그냥 가져 가세요 ㅎㅎ"" 당근마켓이 '당근듀오'된 사연? [IT선빵!] 헤럴드경제"	0
19	일본 코로나19 브리핑에 소녀상 관련 자막 입힌 KBS에 '권고' 연합뉴스	0
20	이어도 과학기지 주변은 동북아 바다의 급격한 플랑크톤종 변화 현장 동아사이언스	0
21	"""게임은 공익산업 아니다""..학계, 자율규제 위한 민·관 협력 '시급' 아이뉴스24"	0
22	"개인정보보호위 ""정보주체 권리 강화..개인정보보호법 개정 추진"" 한겨레"	0
23	"대통령상 취소 황우석 전 서울대 교수 상금 반납 거부..과기부 ""민사소송 계획"" 동아사이언스"	0
24	"애플, 전기차 배터리 시장서 다크호스될까? 아이뉴스24"	0
25	[단독] 한국 게임 막아놓고..중국은 2조 벌어갔다 한국경제	0
26	태양계 '화석' 달 충돌구 10만9천여개 새로 찾아내 연합뉴스	0
27	"한파 도우미 운영, 결빙 구간 '내비'로 안내.. 안전한 겨울 지킨다 조선일보"	0
28	"""개방성·다양성 더한 5.5G로 도약, 지능형 IoT 혁신 이끈다"" 지디넷코리아"	0
29	"넥슨, 20년 근속자에 1천만원 포상..넷마블·엔씨에 이어 도입(종합) 연합뉴스"	0
30	"정부, GDPR처럼 개인정보 유출 과징금 확 늘린다 지디넷코리아"	0
31	애플 이어 MS도 서버·서피스용 칩 만든다 지디넷코리아	0
