id	document	label
1	"""암 걸릴까 걱정"" 또 마약한 30대 가장..가족이 신고 뉴시스"	1
2	[연말기획④-울산노동]코로나 고용 불안..노동 위축 노컷뉴스	1
3	"의성 쓰레기산' 내년 1월 사라진다..""자원 소중함 알리는 상징공간으로 조성 목표"" 경향신문"	1
4	변이 바이러스 공포감 증폭..세계 곳곳 빗장에 백신은 속도전 뉴스1	1
5	"[단독] 김진욱 ""친정부 인사면 인권국장 떨어졌겠나"" '독립성 논란' 일축 국민일보"	1
6	"코로나19 사망 900명, 12월 들어 374명..위중증 334명 최다(종합) 뉴시스"	1
7	올해 제주 국내 관광객 1000만명..작년보다 350만명 줄어 뉴스1	1
8	"국시 거부 의대생 2700명 구제..""코로나 극복 취지, 이해해달라""(종합) 뉴스1"	1
9	괴산 아동센터 교사 확진 '비상'..초등생 등 30여명 검사 연합뉴스	1
10	"석방된 전광훈, 다시 文대통령 비난..""3·1운동 재현할 것"" 연합뉴스"	1
11	"법무부 ""교정시설 내 거리두기 3단계""..집단감염 사태 사과 노컷뉴스"	1
12	"의사 국시 거부 2700여명 구제..""국민 건강·생명 최우선""(종합) 뉴시스"	1
13	[단독]'제자 성폭행' 혐의 경희대 교수 파면 결정 이데일리	1
14	"정부 ""미소들병원 확진자 모두 전원조치..비확진자는 잔류""(종합) 뉴시스"	1
15	"서울 확진자 366명, 누적 2만명 육박..요양·장애인시설 감염 확산(종합) 뉴시스"	1
16	"""5인 이상 집합금지, '종사자' 제외""..골프장 캐디 포함 5인 가능 뉴시스"	1
17	"정부, 내년 1월2일 거리두기 조정 결정..3단계 격상 주목(종합) 뉴시스"	1
18	"""경찰, 박원순 성추행 의혹 사건 수사 내용 공개해야"" 한국일보"	1
19	"""제주, 추가감염 막을수있다..확진자 비난은 멈춰야"" 뉴시스"	1
20	"AZ 코로나백신 영국 승인, 국내 공급은?..식약처 사전검토 진행 중 뉴스1"	1
21	"""새해에 일가친적 모인다는데""..5인 이상 모임금지 '빨간불' 연합뉴스"	1
22	"[단독] 검찰, 이명박 前대통령 형집행정지 신청 '불허' 서울경제"	1
